PRODUCTO,PRECIO,Unnamed: 2,PRODUCTO.1,PRECIO.1
SALCHIPAPA PEQUENA,1.0,,CHAULAFAN PERSONAL,1.75
SALCHIPAPA GRANDE,1.5,,CHAULAFAN AGRANDADO,3.75
PAPIPOLLO OCTAVO,2.0,,CHAULAFAN G. PARA LLEVAR,4.0
PAPICARNE,2.0,,JUGOS,1.0
PAPI MOLLEJA,2.0,,BATIDOS,1.5
PAPIHUEVO,1.5,,COCA COLA 300ML,0.7
COMBO 1 POLLO,3.25,,COCA COLA 500ML,0.9
COMBO 1 POLLO PARA LLEVAR,3.5,,COCA COLA 1 LITRO,1.35
COMBO 2 CARNE,3.25,,COCA COLA 1.3 LITROS,1.75
COMBO 2 CARNE PARA LLEVAR,3.5,,COCA COLA LATA,1.5
COMBO DOBLE,3.75,,FANTA  (SABORES),0.5
COMBO DOBLE PARA LLEVAR,4.0,,FANTA 500ML (SABORES),0.85
COMBO UNICO,3.0,,FANTA 1.3 LITROS (SABORES),1.5
COMBO UNICO PARA LLEVAR,3.25,,TE 250ML,0.5
COMBO FAMILIAR 6 PRESAS,13.0,,TE 550ML,0.85
COMBO HAMBURGUESA SIMPLE,3.5,,TE 1 LITRO,1.5
COMBO HAMBURGUESA DOBLE,5.0,,SQUIZ 300ML,0.5
HAMBURGUESA SOLA,3.0,,PEPSI 300ML (7 UP),0.5
ENSALADA,1.0,,PEPSI 1 LITRO (7 UP),0.85
ALITAS,4.0,,QUINTUPLE 300ML,0.5
ALITAS PARA LLEVAR,4.25,,QUINTUPLE 1 LITRO,0.85
PORCION ARROZ,1.25,,LIMONADA 500ML,0.75
PORCION BROSTER,1.5,,AGUA 600ML,0.75
PORCION CARNE,1.5,,AGUA 1 LITRO,0.9
PORCION HUEVO,0.5,,GASEOSA EN VASO,0.25
PORCION MOLLEJA (13 trozos),1.0,,VASOS UNIDAD,0.05
PORCION PAPAS,1.25,,,
PORCION SALCHICHA,0.5,,,
